height,weight,games_year
0,0,1936
178,70,1972
178,70,1976
179,91,2000
179,91,2008
166,57,1996
190,80,1984
190,80,1988
190,80,1992
170,60,1960
168,60,1984
175,67,2000
177,75,2004
160,50,1992
173,62,1992
170,51,1988
0,0,2008
180,83,2012
180,83,2016
0,0,1984
0,0,1924
0,0,1928
194,92,1972
194,92,1976
169,48,2004
190,73,1972
0,0,1928
163,52,2008
185,102,1924
0,0,1952
183,80,1976
183,80,1980
160,48,1972
160,62,2008
160,62,2012
160,62,2016
165,55,2008
163,46,2000
163,46,2004
0,0,1924
0,0,1936
0,0,1948
0,0,1952
0,0,1920
0,62,2012
0,0,1992
184,85,2008
184,85,2016
153,48,1960
0,0,1900
0,0,1904
176,66,2016
0,0,1948
0,0,1980
174,63,1988
0,0,1952
173,61,1996
166,58,2000
192,68,2016
186,84,1968
186,84,1972
186,84,1976
0,0,1912
181,76,1992
181,78,1912
190,73,1988
0,0,1912
170,60,1948
181,78,1952
187,75,2012
165,75,1988
165,75,1992
165,75,1994
165,75,1998
165,75,2002
182,84,2000
0,0,1956
0,0,1996
0,0,1952
173,66,1972
159,40,2004
159,40,2008
160,53,2000
180,74,2016
166,52,2016
180,80,1992
180,80,1996
180,80,2008
177,68,2008
177,68,2012
177,68,2016
179,63,1984
156,46,1988
179,72,1988
0,0,1988
0,0,1972
160,78,2008
169,62,2008
173,53,2012
162,56,2016
172,82,1976
172,82,1980
168,60,2012
168,60,2016
159,54,2012
170,68,2016
159,54,1980
159,54,1984
150,43,1998
164,58,2008
163,48,2004
175,75,2016
169,68,2002
169,68,2006
169,68,2010
0,0,1928
0,0,1936
182,68,1932
161,62,2012
161,62,2016
174,62,1976
182,78,2016
176,70,1996
170,53,2012
190,78,1972
175,61,1972
169,60,1998
166,60,2014
168,59,1988
197,92,2016
0,0,1988
0,0,1984
210,88,2016
170,64,1968
170,64,1972
175,74,1972
186,86,2000
186,86,2008
186,86,2016
0,0,1952
188,85,2000
205,102,1984
0,0,1992
168,54,2000
181,76,1984
0,0,1948
182,79,2000
0,0,1948
0,0,1952
187,82,1976
187,82,1984
0,0,1984
0,0,1948
0,0,1952
0,0,1960
0,0,1964
170,48,1988
171,65,2000
190,65,2004
190,65,2008
170,51,1992
175,75,1988
178,67,1984
180,64,2012
183,85,2016
188,87,2012
188,87,2016
0,0,1992
0,0,1968
178,81,2004
0,0,1992
0,0,2004
182,77,2012
193,78,1972
174,68,1996
186,84,1912
0,0,1936
192,88,1988
192,88,1992
175,64,1976
175,64,1980
170,62,2016
178,61,2016
167,53,1984
167,53,1988
167,53,1992
167,53,1996
180,70,1980
191,84,2000
191,84,2004
191,84,2008
0,0,1968
178,68,2008
179,72,1984
173,65,1976
183,75,1920
183,75,1924
0,0,1906
0,0,1912
0,0,1912
0,0,1988
183,87,1980
183,87,1984
162,67,1984
190,88,1972
190,88,1976
187,77,1972
172,61,1920
180,72,1960
180,72,1964
0,0,1928
185,81,1972
193,87,1972
176,82,2006
176,82,2010
176,82,2014
182,95,2016
180,82,2006
180,82,2010
180,82,2014
181,80,2010
181,80,2014
0,0,1992
167,43,1996
175,70,1996
181,84,1994
181,84,1998
180,100,1960
176,70,2008
164,59,1964
198,89,2004
180,94,1994
173,61,1980
172,63,1988
171,60,1964
167,65,2006
167,65,2010
180,72,2006
182,96,2010
163,53,2016
180,70,1988
183,0,1956
183,0,1960
186,115,2016
176,68,1988
176,68,1992
176,68,1996
183,72,2008
183,72,2012
174,68,1988
187,81,1996
0,0,1994
172,70,2012
184,73,1994
183,84,1992
183,84,1998
183,84,2002
183,73,2016
160,54,1976
185,75,2004
159,64,1968
0,0,1976
188,73,2008
176,78,1984
200,88,1980
177,71,1996
177,64,1976
177,64,1980
174,68,1988
164,52,2012
164,52,2016
162,50,2012
198,93,2016
0,0,1912
180,70,2016
164,51,2016
188,77,2000
188,77,2008
0,0,1952
168,68,1980
180,68,2004
180,68,2008
180,68,2012
180,68,2016
