event_name,region_name,medalist_count
"Gymnastics Men's Team All-Around, Free System",Denmark,40
"Athletics Men's 400 metres Hurdles",USA,40
"Basketball Men's Basketball",Lithuania,40
"Swimming Women's 4 x 200 metres Freestyle Relay",USA,40
"Water Polo Men's Water Polo",Belgium,40
"Volleyball Women's Volleyball",Cuba,40
"Swimming Women's 4 x 100 metres Freestyle Relay",Australia,39
"Water Polo Women's Water Polo",Australia,39
"Ice Hockey Women's Ice Hockey",Finland,39
"Athletics Men's 100 metres",USA,39
"Gymnastics Men's Team All-Around",Sweden,38
"Water Polo Men's Water Polo","Serbia and Montenegro",38
"Swimming Men's 100 metres Backstroke",USA,37
"Rowing Men's Coxed Eights","Soviet Union",37
"Tug-Of-War Men's Tug-Of-War",UK,37
"Handball Men's Handball",Russia,37
"Football Men's Football",UK,37
"Gymnastics Men's Team All-Around",USA,37
"Gymnastics Men's Team All-Around",Switzerland,37
"Football Men's Football",Germany,37
"Bobsleigh Men's Four",USA,37
"Diving Men's Springboard",USA,37
"Fencing Men's Sabre, Team","Soviet Union",36
"Football Women's Football",Canada,36
"Gymnastics Women's Team All-Around",Hungary,36
"Rowing Men's Coxed Eights",Netherlands,36
"Rowing Women's Coxed Eights",Canada,36
"Synchronized Swimming Women's Team",Japan,35
"Rhythmic Gymnastics Women's Group",Russia,35
"Football Women's Football",Brazil,35
"Equestrianism Mixed Three-Day Event, Team",USA,35
"Equestrianism Mixed Three-Day Event, Team",UK,35
"Fencing Women's Foil, Team",Hungary,35
"Equestrianism Mixed Jumping, Team",Germany,35
"Fencing Men's epee, Team",Hungary,34
"Basketball Men's Basketball",Brazil,34
"Rugby Men's Rugby",USA,34
"Football Women's Football",Norway,33
"Athletics Men's High Jump",USA,33
"Football Men's Football",Czechoslovakia,33
"Gymnastics Men's Team All-Around","East Germany",33
"Basketball Women's Basketball",Russia,33
"Diving Women's Springboard",USA,33
"Cycling Men's Team Pursuit, 4,000 metres",Australia,33
"Athletics Women's 4 x 100 metres Relay",UK,32
"Hockey Women's Hockey","South Korea",32
"Athletics Men's Discus Throw",USA,32
"Football Men's Football",Bulgaria,32
"Gymnastics Men's Team All-Around",France,32
"Bobsleigh Men's Two",Switzerland,32
"Cross Country Skiing Men's 4 x 10 kilometres Relay","Soviet Union",32
"Cross Country Skiing Women's 4 x 5 kilometres Relay",Norway,32
"Swimming Women's 4 x 200 metres Freestyle Relay",Australia,32
"Rowing Men's Coxless Fours",Italy,32
"Rowing Women's Coxed Eights","East Germany",32
"Volleyball Men's Volleyball",Japan,32
"Rowing Men's Coxed Fours",France,31
"Rowing Women's Quadruple Sculls",Germany,31
"Water Polo Men's Water Polo",Germany,31
"Volleyball Women's Volleyball",Russia,31
"Fencing Men's Foil, Team","Soviet Union",31
"Football Men's Football",Uruguay,31
"Canoeing Women's Kayak Fours, 500 metres",Germany,31
"Fencing Women's Foil, Team","Soviet Union",31
"Diving Men's Platform",USA,30
"Fencing Men's Sabre, Team",France,30
"Gymnastics Women's Team All-Around",Russia,30
"Gymnastics Women's Team All-Around","East Germany",30
"Athletics Men's 4 x 400 metres Relay",Jamaica,30
"Gymnastics Men's Team All-Around",Hungary,30
"Canoeing Men's Kayak Fours, 1,000 metres",Germany,30
"Sailing Mixed 8 metres",Norway,30
"Short Track Speed Skating Women's 3,000 metres Relay",Canada,30
"Rowing Men's Coxed Fours",Italy,30
"Water Polo Men's Water Polo",Russia,30
"Swimming Men's 4 x 100 metres Freestyle Relay",Australia,29
"Swimming Men's 100 metres Freestyle",USA,29
"Polo Men's Polo",UK,29
"Rowing Men's Coxed Eights","East Germany",29
"Fencing Men's Sabre, Team",Poland,29
"Ice Hockey Men's Ice Hockey",Switzerland,29
"Fencing Men's Sabre, Individual",Hungary,29
"Golf Men's Team",USA,29
"Handball Women's Handball",Yugoslavia,29
"Handball Women's Handball",Russia,29
"Fencing Men's epee, Team","Soviet Union",29
"Athletics Men's 4 x 100 metres Relay",UK,29
"Equestrianism Mixed Three-Day Event, Team",Australia,29
"Biathlon Men's 4 x 7.5 kilometres Relay","Soviet Union",29
"Equestrianism Mixed Jumping, Team",USA,29
"Fencing Women's Foil, Team",Italy,29
"Athletics Women's 4 x 100 metres Relay",Jamaica,28
"Fencing Men's Foil, Team",Poland,28
"Handball Women's Handball","East Germany",28
"Athletics Men's 4 x 100 metres Relay","Soviet Union",28
"Gymnastics Men's Team All-Around",UK,28
"Canoeing Women's Kayak Fours, 500 metres",Hungary,28
"Bobsleigh Men's Four","East Germany",28
"Canoeing Men's Kayak Fours, 1,000 metres",Hungary,28
"Equestrianism Mixed Jumping, Team","West Germany",28
"Swimming Women's 400 metres Freestyle",USA,28
"Sailing Mixed Three Person Keelboat",Denmark,28
"Swimming Women's 4 x 100 metres Freestyle Relay",Germany,28
"Swimming Men's 4 x 200 metres Freestyle Relay",Japan,28
"Sailing Mixed 12 metres",Norway,28
"Synchronized Swimming Women's Team",China,27
"Sailing Mixed Two Person Keelboat",USA,27
"Swimming Women's 4 x 100 metres Freestyle Relay","East Germany",27
"Swimming Men's 4 x 200 metres Freestyle Relay","Soviet Union",27
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Norway,27
"Rowing Men's Coxed Fours","East Germany",27
"Rowing Men's Coxed Fours",Switzerland,27
"Athletics Women's 4 x 400 metres Relay",Jamaica,27
"Fencing Men's Foil, Individual",France,27
"Fencing Men's epee, Team",Belgium,27
"Equestrianism Mixed Three-Day Event, Team",Germany,27
"Cycling Men's Road Race, Team",Sweden,27
"Diving Women's Platform",USA,26
"Athletics Men's Decathlon",USA,26
"Biathlon Men's 4 x 7.5 kilometres Relay",Germany,26
"Basketball Men's Basketball",France,26
"Sailing Mixed 6 metres",Norway,26
"Swimming Women's 100 metres Freestyle",USA,26
"Rowing Men's Coxed Eights","West Germany",26
"Water Polo Women's Water Polo",Russia,26
"Water Polo Women's Water Polo",Italy,26
"Water Polo Men's Water Polo",UK,26
"Swimming Men's 4 x 200 metres Freestyle Relay",UK,25
"Swimming Men's 4 x 100 metres Medley Relay","Soviet Union",25
"Water Polo Men's Water Polo",Spain,25
"Football Men's Football",France,25
"Biathlon Men's 4 x 7.5 kilometres Relay",Russia,25
"Fencing Women's Foil, Team",Romania,25
"Athletics Women's 4 x 400 metres Relay",Russia,24
"Athletics Men's 4 x 100 metres Relay",France,24
"Archery Women's Team","South Korea",24
"Fencing Men's epee, Individual",France,24
"Figure Skating Mixed Pairs","Soviet Union",24
"Basketball Women's Basketball",Yugoslavia,24
"Basketball Women's Basketball",Bulgaria,24
"Basketball Women's Basketball",Brazil,24
"Basketball Men's Basketball",Italy,24
"Basketball Men's Basketball",Argentina,24
"Baseball Men's Baseball",Australia,24
"Badminton Women's Doubles",China,24
"Curling Men's Curling",Canada,24
"Curling Women's Curling",Canada,24
"Cycling Men's Road Race, Team",France,24
"Rowing Men's Coxed Eights",Italy,24
"Sailing Mixed Three Person Keelboat",USA,24
"Swimming Women's 4 x 100 metres Medley Relay","East Germany",24
"Short Track Speed Skating Men's 5,000 metres Relay",Canada,24
"Modern Pentathlon Men's Team",Hungary,24
"Ski Jumping Men's Large Hill, Team",Austria,24
"Rowing Men's Coxed Pairs",Italy,24
"Rowing Men's Coxless Fours",Australia,24
"Rowing Men's Lightweight Coxless Fours",Denmark,24
"Water Polo Men's Water Polo",Sweden,24
"Volleyball Men's Volleyball",Netherlands,24
"Swimming Women's 100 metres Backstroke",USA,23
"Swimming Men's 4 x 100 metres Medley Relay",Canada,23
"Lacrosse Men's Lacrosse",Canada,23
"Speed Skating Men's 1,500 metres",Norway,23
"Swimming Men's 1,500 metres Freestyle",Australia,23
"Rowing Men's Coxed Fours",USA,23
"Water Polo Men's Water Polo","Unified Team",23
"Volleyball Men's Volleyball","Serbia and Montenegro",23
"Volleyball Men's Volleyball",Czechoslovakia,23
"Fencing Men's Sabre, Team",Netherlands,23
"Equestrianism Mixed Dressage, Team","West Germany",23
"Equestrianism Mixed Dressage, Team",USA,23
"Fencing Men's epee, Team",Sweden,23
"Gymnastics Men's Team All-Around",Germany,23
"Figure Skating Women's Singles",USA,23
"Basketball Women's Basketball",China,23
"Athletics Men's 800 metres",USA,22
"Ice Hockey Men's Ice Hockey",UK,22
"Equestrianism Mixed Dressage, Team",Switzerland,22
"Fencing Men's Foil, Team",Hungary,22
"Equestrianism Mixed Dressage, Individual",Germany,22
"Handball Men's Handball",Austria,22
"Gymnastics Men's Team All-Around, Swedish System",Norway,22
"Athletics Men's Javelin Throw",Finland,22
"Cycling Men's Road Race, Team",UK,22
"Basketball Men's Basketball",Uruguay,22
"Equestrianism Mixed Jumping, Team",France,22
"Luge Mixed (Men)'s Doubles","East Germany",22
"Luge Mixed (Men)'s Doubles",Germany,22
"Short Track Speed Skating Women's 3,000 metres Relay","South Korea",22
"Nordic Combined Men's Individual",Norway,22
"Nordic Combined Men's Team",Austria,22
"Water Polo Men's Water Polo",France,22
"Volleyball Women's Volleyball",Poland,22
"Speed Skating Men's 5,000 metres",Norway,21
"Speed Skating Men's 5,000 metres",Netherlands,21
"Ski Jumping Men's Normal Hill, Individual",Norway,21
"Rowing Men's Coxed Pairs",France,21
"Rowing Men's Quadruple Sculls",Germany,21
"Canoeing Women's Kayak Doubles, 500 metres",Germany,21
"Fencing Men's Foil, Team",Germany,21
"Hockey Men's Hockey",Belgium,21
"Fencing Men's Foil, Individual",Italy,21
"Fencing Men's epee, Team",UK,21
"Handball Men's Handball","Unified Team",21
"Athletics Men's 3,000 metres Steeplechase",Kenya,21
"Archery Men's Team","South Korea",21
"Bobsleigh Men's Two",Germany,21
"Equestrianism Mixed Three-Day Event, Team","West Germany",21
"Cycling Men's Team Pursuit, 4,000 metres",Denmark,20
"Cycling Men's Team Pursuit, 4,000 metres",France,20
"Cycling Men's Team Pursuit, 4,000 metres",Germany,20
"Cycling Men's Team Pursuit, 4,000 metres","West Germany",20
"Athletics Men's Cross-Country, Team",Finland,20
"Canoeing Women's Kayak Doubles, 500 metres",Hungary,20
"Fencing Men's Foil, Team","West Germany",20
"Football Men's Football",USA,20
"Athletics Men's 4 x 100 metres Relay",Germany,20
"Athletics Men's 4 x 400 metres Relay",Bahamas,20
"Gymnastics Men's Team All-Around, Free System",Finland,20
"Football Men's Football",Ghana,20
"Gymnastics Men's Team All-Around",Russia,20
"Cross Country Skiing Men's 4 x 10 kilometres Relay",Italy,20
"Biathlon Men's 4 x 7.5 kilometres Relay",Norway,20
"Fencing Women's Foil, Team",Germany,20
"Baseball Men's Baseball",Taiwan,20
"Cross Country Skiing Women's 4 x 5 kilometres Relay",Finland,20
"Cycling Men's 100 kilometres Team Time Trial",Italy,20
"Cycling Men's Sprint",France,20
"Swimming Women's 4 x 100 metres Freestyle Relay",Sweden,20
"Speed Skating Men's 10,000 metres",Netherlands,20
"Swimming Men's 200 metres Backstroke",USA,20
"Ski Jumping Men's Large Hill, Team",Germany,20
"Rowing Men's Coxed Fours",Poland,20
"Rowing Men's Coxless Fours","East Germany",20
"Rowing Men's Coxless Pairs",UK,20
"Tennis Men's Doubles",USA,19
"Table Tennis Women's Singles",China,19
"Synchronized Swimming Women's Team",USA,19
"Swimming Women's 4 x 100 metres Freestyle Relay",UK,19
"Swimming Men's 400 metres Individual Medley",USA,19
"Short Track Speed Skating Men's 5,000 metres Relay","South Korea",19
"Modern Pentathlon Men's Individual",Sweden,19
"Modern Pentathlon Men's Team","Soviet Union",19
"Wrestling Men's Featherweight, Freestyle",USA,19
"Rowing Women's Coxed Eights","Soviet Union",19
"Water Polo Men's Water Polo",Netherlands,19
"Tug-Of-War Men's Tug-Of-War",Sweden,19
"Athletics Men's Triple Jump",USA,19
"Ice Hockey Women's Ice Hockey",Switzerland,19
"Hockey Women's Hockey","West Germany",19
"Handball Women's Handball","Unified Team",19
"Athletics Men's Hammer Throw",USA,19
"Fencing Women's Foil, Team","West Germany",19
"Basketball Men's Basketball",Croatia,19
"Canoeing Men's Canadian Doubles, 1,000 metres",Germany,19
"Athletics Women's 4 x 400 metres Relay","East Germany",18
"Alpine Skiing Men's Downhill",Austria,18
"Athletics Women's 4 x 100 metres Relay",Canada,18
"Alpine Skiing Men's Giant Slalom",Austria,18
"Cycling Men's Team Pursuit, 4,000 metres","Soviet Union",18
"Athletics Men's Cross-Country, Team",Sweden,18
"Ice Hockey Men's Ice Hockey","West Germany",18
"Fencing Men's Foil, Team",USA,18
"Equestrianism Mixed Dressage, Team",Netherlands,18
"Hockey Men's Hockey",Argentina,18
"Football Women's Football",Sweden,18
"Football Women's Football",Japan,18
"Football Men's Football","West Germany",18
"Gymnastics Women's Individual All-Around","Soviet Union",18
"Archery Women's Individual","South Korea",18
"Football Men's Football","South Korea",18
"Athletics Men's 4 x 400 metres Relay",Germany,18
"Football Men's Football",Cameroon,18
"Figure Skating Mixed Pairs",Russia,18
"Cross Country Skiing Men's 50 kilometres",Sweden,18
"Figure Skating Mixed Ice Dancing","Soviet Union",18
"Figure Skating Mixed Ice Dancing",Russia,18
"Basketball Women's Basketball","Unified Team",18
"Fencing Women's Foil, Individual",Italy,18
"Cross Country Skiing Women's 4 x 5 kilometres Relay",Russia,18
"Athletics Women's 4 x 400 metres Relay","Soviet Union",18
"Table Tennis Women's Doubles",China,18
"Swimming Women's 4 x 200 metres Freestyle Relay",Germany,18
"Swimming Women's 4 x 100 metres Medley Relay",Germany,18
"Swimming Men's 400 metres Freestyle",USA,18
"Swimming Men's 4 x 100 metres Medley Relay",Japan,18
"Swimming Men's 4 x 100 metres Freestyle Relay","Soviet Union",18
"Swimming Men's 4 x 100 metres Freestyle Relay",France,18
"Swimming Men's 200 metres Butterfly",USA,18
"Rhythmic Gymnastics Women's Group",Belarus,18
"Rowing Men's Coxed Eights",Czechoslovakia,18
"Rowing Men's Coxed Eights","New Zealand",18
"Rowing Men's Coxed Eights",Norway,18
"Rowing Men's Coxed Pairs",USA,18
"Volleyball Women's Volleyball","Unified Team",18
"Shooting Men's Trap, Team",USA,18
"Sailing Mixed 6 metres",Sweden,17
"Tennis Men's Doubles",France,17
"Synchronized Swimming Women's Team",Canada,17
"Swimming Men's 400 metres Freestyle",Australia,17
"Swimming Men's 4 x 200 metres Freestyle Relay","West Germany",17
"Speed Skating Men's 10,000 metres",Norway,17
"Swimming Men's 4 x 100 metres Medley Relay",Germany,17
"Short Track Speed Skating Men's 5,000 metres Relay",USA,17
"Swimming Men's 4 x 100 metres Freestyle Relay",Germany,17
"Nordic Combined Men's Team",Germany,17
"Rhythmic Gymnastics Women's Group",Bulgaria,17
