event_name,region_name,medalist_count
"Rowing Men's Coxed Eights",Belgium,14
"Rowing Women's Coxed Eights",Germany,14
"Rugby Men's Rugby",UK,14
"Sailing Mixed 10 metres",Norway,14
"Swimming Women's 400 metres Individual Medley",USA,13
"Sailing Mixed Three Person Keelboat",Sweden,13
"Sailing Mixed Two Person Keelboat",UK,13
"Swimming Men's 4 x 200 metres Freestyle Relay",Germany,13
"Swimming Men's 4 x 200 metres Freestyle Relay",France,13
"Swimming Men's 4 x 200 metres Freestyle Relay","East Germany",13
"Swimming Men's 4 x 100 metres Medley Relay","Unified Team",13
"Short Track Speed Skating Men's 5,000 metres Relay",China,13
"Swimming Men's 200 metres Freestyle",USA,13
"Luge Women's Singles","East Germany",13
"Modern Pentathlon Men's Individual",Hungary,13
"Rowing Men's Coxed Pairs",Germany,13
"Wrestling Men's Bantamweight, Freestyle",USA,13
"Speed Skating Women's 1,500 metres",Netherlands,13
"Weightlifting Men's Bantamweight",China,13
"Water Polo Women's Water Polo",Greece,13
"Rugby Sevens Men's Rugby Sevens",Fiji,13
"Rugby Sevens Men's Rugby Sevens","South Africa",13
"Speed Skating Men's 500 metres",Norway,13
"Tennis Women's Doubles",USA,13
"Gymnastics Women's Floor Exercise",Romania,13
"Fencing Men's epee, Team",Germany,13
"Athletics Men's 4 x 100 metres Relay",Brazil,13
"Athletics Men's 4 x 100 metres Relay",Canada,13
"Gymnastics Men's Horse Vault","Soviet Union",13
"Equestrianism Mixed Jumping, Team",Italy,13
"Cycling Men's Team Pursuit, 4,000 metres","East Germany",13
"Biathlon Men's 4 x 7.5 kilometres Relay","West Germany",13
"Athletics Women's 100 metres",Jamaica,13
"Gymnastics Men's Floor Exercise",Japan,13
"Athletics Women's 4 x 100 metres Relay",Germany,13
"Athletics Men's Standing High Jump",USA,13
"Athletics Men's 5,000 metres",Finland,13
"Athletics Men's Triple Jump","Soviet Union",13
"Fencing Men's Sabre, Individual",Italy,13
"Cross Country Skiing Women's 4 x 5 kilometres Relay","Unified Team",13
"Diving Men's Springboard",China,13
"Canoeing Men's Kayak Fours, 1,000 metres","East Germany",13
"Athletics Women's 4 x 100 metres Relay",Russia,13
"Athletics Women's 4 x 400 metres Relay",UK,13
"Football Men's Football",Austria,13
"Handball Women's Handball",China,13
"Handball Men's Handball","South Korea",13
"Equestrianism Men's Three-Day Event, Team",Germany,13
"Wrestling Men's Welterweight, Freestyle",USA,13
"Wrestling Men's Lightweight, Freestyle",USA,12
"Sailing Mixed 8 metres",USA,12
"Sailing Mixed Multihull",Australia,12
"Sailing Mixed Two Person Heavyweight Dinghy",UK,12
"Sailing Mixed Two Person Keelboat",Sweden,12
"Swimming Women's 200 metres Individual Medley",USA,12
"Swimming Women's 200 metres Breaststroke",USA,12
"Swimming Men's 4 x 100 metres Freestyle Relay","East Germany",12
"Luge Men's Singles","East Germany",12
"Short Track Speed Skating Women's 3,000 metres Relay",China,12
"Swimming Men's 200 metres Breaststroke",Japan,12
"Modern Pentathlon Men's Team",USA,12
"Swimming Men's 100 metres Freestyle",Australia,12
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Sweden,12
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Switzerland,12
"Ski Jumping Men's Large Hill, Team",Japan,12
"Ski Jumping Men's Large Hill, Team",Norway,12
"Nordic Combined Men's Team",Finland,12
"Rhythmic Gymnastics Women's Group",Italy,12
"Rowing Men's Coxed Pairs","East Germany",12
"Rowing Men's Coxed Pairs","Soviet Union",12
"Rowing Men's Coxless Fours",Denmark,12
"Rowing Men's Coxless Fours","Soviet Union",12
"Wrestling Men's Light-Heavyweight, Freestyle",USA,12
"Rowing Men's Quadruple Sculls","East Germany",12
"Shooting Men's Running Target, Single Shot, Team",Sweden,12
"Shooting Men's Running Target, Single Shot, Team",USA,12
"Rowing Women's Coxed Fours",Romania,12
"Speed Skating Men's Team Pursuit (8 laps)",Netherlands,12
"Water Polo Women's Water Polo",Spain,12
"Water Polo Women's Water Polo",Netherlands,12
"Water Polo Men's Water Polo","West Germany",12
"Rowing Women's Quadruple Sculls",UK,12
"Rugby Sevens Men's Rugby Sevens",UK,12
"Rugby Sevens Women's Rugby Sevens",Australia,12
"Rugby Sevens Women's Rugby Sevens",Canada,12
"Rugby Sevens Women's Rugby Sevens","New Zealand",12
"Volleyball Women's Volleyball","South Korea",12
"Volleyball Women's Volleyball",Serbia,12
"Volleyball Women's Volleyball",Peru,12
"Volleyball Women's Volleyball","East Germany",12
"Volleyball Men's Volleyball",Poland,12
"Volleyball Men's Volleyball","East Germany",12
"Volleyball Men's Volleyball",Cuba,12
"Volleyball Men's Volleyball",Bulgaria,12
"Volleyball Men's Volleyball",Argentina,12
"Sailing Mixed 5.5 metres",Sweden,12
"Alpine Skiing Men's Downhill",Switzerland,12
"Athletics Men's 4 x 100 metres Relay",Cuba,12
"Gymnastics Men's Pommelled Horse","Soviet Union",12
"Athletics Men's 4 x 100 metres Relay",Italy,12
"Bobsleigh Men's Two",USA,12
"Cycling Men's Tandem Sprint, 2,000 metres",France,12
"Cycling Men's 100 kilometres Team Time Trial",Poland,12
"Athletics Men's Standing Long Jump",USA,12
"Cross Country Skiing Men's 30 kilometres","Soviet Union",12
"Bobsleigh Men's Four",Austria,12
"Biathlon Women's 4 x 7.5 kilometres Relay",Russia,12
"Biathlon Women's 4 x 7.5 kilometres Relay",Germany,12
"Biathlon Women's 4 x 6 kilometres Relay",Russia,12
"Cross Country Skiing Men's 50 kilometres",Finland,12
"Cross Country Skiing Men's 50 kilometres",Norway,12
"Cycling Men's 100 kilometres Team Time Trial",Sweden,12
"Biathlon Men's 4 x 7.5 kilometres Relay",France,12
"Cross Country Skiing Women's 3 x 5 kilometres Relay",Finland,12
"Athletics Women's Discus Throw","Soviet Union",12
"Cross Country Skiing Women's 3 x 5 kilometres Relay",Sweden,12
"Athletics Women's 200 metres",Jamaica,12
"Beach Volleyball Women's Beach Volleyball",USA,12
"Beach Volleyball Men's Beach Volleyball",Brazil,12
"Basketball Women's Basketball",Spain,12
"Basketball Women's Basketball",Serbia,12
"Fencing Men's Sabre, Team",USA,12
"Basketball Women's Basketball",France,12
"Fencing Men's Sabre, Team",Russia,12
"Basketball Men's Basketball",Serbia,12
"Basketball Men's Basketball",Russia,12
"Fencing Men's Sabre, Team",Germany,12
"Basketball Men's Basketball",Cuba,12
"Badminton Women's Doubles","South Korea",12
"Badminton Men's Doubles",Indonesia,12
"Athletics Women's Shot Put","Soviet Union",12
"Archery Men's Team",Italy,12
"Football Men's Football",Canada,12
"Curling Men's Curling",Sweden,12
"Archery Women's Team",China,12
"Cycling Men's Team Sprint",UK,12
"Ice Hockey Men's Ice Hockey",Germany,12
"Equestrianism Mixed Dressage, Team",Sweden,12
"Equestrianism Mixed Dressage, Team","Soviet Union",12
"Hockey Men's Hockey",USA,12
"Hockey Men's Hockey",Denmark,12
"Canoeing Women's Kayak Fours, 500 metres",Sweden,12
"Equestrianism Mixed Dressage, Individual","West Germany",12
"Athletics Women's 100 metres Hurdles",USA,12
"Canoeing Men's Kayak Fours, 1,000 metres",Slovakia,12
"Boxing Men's Heavyweight",USA,12
"Diving Men's Platform",China,12
"Gymnastics Women's Uneven Bars","Soviet Union",12
"Gymnastics Women's Team All-Around",Italy,12
"Alpine Skiing Men's Giant Slalom",Switzerland,11
"Gymnastics Men's Horse Vault",Japan,11
"Bobsleigh Men's Two","West Germany",11
"Bobsleigh Men's Four","West Germany",11
"Alpine Skiing Women's Downhill",Switzerland,11
"Gymnastics Men's Floor Exercise","Soviet Union",11
"Fencing Women's epee, Team",China,11
"Basketball Women's Basketball","South Korea",11
"Cycling Men's Tandem Sprint, 2,000 metres",UK,11
"Boxing Men's Featherweight",USA,11
"Athletics Women's 200 metres",USA,11
"Alpinism Mixed Alpinism",UK,11
"Boxing Men's Flyweight",USA,11
"Basketball Men's Basketball",Mexico,11
"Equestrianism Mixed Jumping, Team",UK,11
"Athletics Women's Shot Put",Germany,11
"Fencing Men's Foil, Team",Russia,11
"Diving Women's Platform",China,11
"Archery Men's Team Round",USA,11
"Fencing Men's Foil, Team",Belgium,11
"Athletics Women's 4 x 400 metres Relay","Unified Team",11
"Equestrianism Men's Three-Day Event, Team",USA,11
"Canoeing Women's Kayak Fours, 500 metres","East Germany",11
"Figure Skating Mixed Pairs",USA,11
"Gymnastics Women's Individual All-Around",Romania,11
"Gymnastics Women's Horse Vault",Romania,11
"Wrestling Men's Lightweight, Greco-Roman",Finland,11
"Wrestling Men's Middleweight, Freestyle",USA,11
"Swimming Women's 4 x 100 metres Medley Relay","Soviet Union",11
"Swimming Men's 50 metres Freestyle",USA,11
"Swimming Men's 4 x 50 Yard Freestyle Relay",USA,11
"Swimming Men's 4 x 100 metres Medley Relay",Russia,11
"Short Track Speed Skating Women's 3,000 metres Relay",USA,11
"Rhythmic Gymnastics Women's Group",Spain,11
"Rowing Men's Coxed Fours",Romania,11
"Rowing Men's Coxed Fours","Soviet Union",11
"Rowing Men's Coxed Fours","West Germany",11
"Wrestling Men's Light-Heavyweight, Greco-Roman",Sweden,11
"Wrestling Men's Heavyweight, Freestyle",USA,11
"Speed Skating Women's 1,000 metres",USA,11
"Rowing Women's Coxed Fours","Soviet Union",11
"Rowing Women's Coxed Quadruple Sculls","East Germany",11
"Rowing Women's Coxed Quadruple Sculls","Soviet Union",11
"Rowing Women's Quadruple Sculls",Ukraine,11
"Speed Skating Men's 500 metres","Soviet Union",11
"Volleyball Women's Volleyball","North Korea",11
"Shooting Men's Trap, Team",Canada,11
"Sailing Mixed 6 metres",Denmark,10
"Tennis Mixed Doubles",USA,10
"Sailing Mixed 8 metres",France,10
"Table Tennis Women's Doubles","South Korea",10
"Synchronized Swimming Women's Duet",Russia,10
"Judo Men's Heavyweight",Japan,10
"Swimming Women's 4 x 200 metres Freestyle Relay",China,10
"Sailing Mixed Two Person Keelboat",Italy,10
"Swimming Women's 200 metres Freestyle",USA,10
"Swimming Women's 200 metres Butterfly",Australia,10
"Swimming Women's 200 metres Breaststroke","Soviet Union",10
"Swimming Women's 200 metres Backstroke",USA,10
"Short Track Speed Skating Men's 1,000 metres","South Korea",10
"Swimming Men's 4 x 100 metres Medley Relay",UK,10
"Swimming Men's 4 x 100 metres Medley Relay","East Germany",10
"Swimming Men's 4 x 100 metres Freestyle Relay","Unified Team",10
"Swimming Men's 100 metres Breaststroke",USA,10
"Nordic Combined Men's Individual",Finland,10
"Polo Men's Polo",USA,10
"Ski Jumping Men's Normal Hill, Individual",Finland,10
"Rhythmic Gymnastics Women's Individual",Russia,10
"Rowing Men's Coxed Eights",Russia,10
"Rowing Men's Coxed Fours",Czechoslovakia,10
"Rowing Men's Coxed Fours",Netherlands,10
"Speed Skating Women's 500 metres",USA,10
"Speed Skating Women's 500 metres","Soviet Union",10
"Speed Skating Women's 5,000 metres",Germany,10
"Shooting Men's Rapid-Fire Pistol, 25 metres",Germany,10
"Wrestling Men's Light-Heavyweight, Freestyle","Soviet Union",10
"Rowing Men's Double Sculls",Italy,10
"Rowing Men's Double Sculls",Norway,10
"Rowing Women's Coxed Fours",Bulgaria,10
"Rowing Women's Coxed Quadruple Sculls",Romania,10
"Rowing Women's Coxless Pairs",Romania,10
"Volleyball Women's Volleyball",Bulgaria,10
"Volleyball Men's Volleyball",Romania,10
"Shooting Men's Trap, Team",UK,10
"Sailing Mixed 12 metres",Sweden,10
"Gymnastics Women's Balance Beam",USA,10
"Figure Skating Mixed Pairs",China,10
"Figure Skating Mixed Pairs",Austria,10
"Gymnastics Women's Balance Beam",Romania,10
"Athletics Men's 3,000 metres, Team",Sweden,10
"Gymnastics Men's Team All-Around","Unified Team",10
"Alpine Skiing Men's Downhill",France,10
"Athletics Women's 10,000 metres",Ethiopia,10
"Gymnastics Men's Parallel Bars","Soviet Union",10
"Bobsleigh Women's Two",USA,10
"Cycling Men's Tandem Sprint, 2,000 metres",Germany,10
"Cross Country Skiing Men's 30 kilometres",Norway,10
"Gymnastics Men's Horizontal Bar",Germany,10
"Athletics Women's 4 x 100 metres Relay",Bahamas,10
"Athletics Men's 800 metres",Kenya,10
"Canoeing Men's Kayak Doubles, 1,000 metres","Soviet Union",10
"Biathlon Men's 4 x 7.5 kilometres Relay","Unified Team",10
"Gymnastics Men's Team All-Around",Belgium,10
"Biathlon Men's 20 kilometres",Norway,10
"Canoeing Men's Canadian Doubles, 500 metres",Romania,10
"Athletics Men's 800 metres",UK,10
"Canoeing Men's Canadian Doubles, Slalom","Czech Republic",10
"Canoeing Men's Canadian Doubles, Slalom",Slovakia,10
"Cycling Men's Road Race, Individual",France,10
"Diving Men's Synchronized Platform",China,10
"Cycling Men's Tandem Sprint, 2,000 metres",Italy,10
"Fencing Men's Sabre, Team","Unified Team",10
"Canoeing Women's Kayak Doubles, 500 metres","Soviet Union",10
"Cycling Men's Sprint",UK,10
"Cycling Men's Team Pursuit, 4,000 metres","New Zealand",10
"Canoeing Women's Kayak Doubles, 500 metres",Poland,10
"Equestrianism Men's Dressage, Individual",Sweden,10
"Fencing Men's Sabre, Individual","Soviet Union",10
"Badminton Women's Singles",China,10
"Athletics Men's Marathon",USA,10
"Diving Women's Synchronized Springboard",China,10
"Canoeing Men's Canadian Singles, 1,000 metres",Hungary,10
"Cross Country Skiing Women's 5 kilometres","Soviet Union",10
"Diving Women's Synchronized Platform",China,10
"Canoeing Men's Kayak Doubles, 500 metres",Germany,10
"Fencing Men's Foil, Team",Cuba,10
"Cycling Men's Sprint",Italy,10
"Cycling Men's Tandem Sprint, 2,000 metres",Netherlands,10
"Athletics Women's Long Jump","Soviet Union",10
"Athletics Men's Cross-Country, Team",UK,10
"Athletics Women's 4 x 400 metres Relay","West Germany",10
"Equestrianism Men's Three-Day Event, Team",Netherlands,10
"Gymnastics Women's Team All-Around",Netherlands,10
"Figure Skating Mixed Team",Russia,10
"Gymnastics Women's Team All-Around",Germany,10
"Figure Skating Mixed Pairs",Hungary,10
"Wrestling Men's Middleweight, Greco-Roman",Finland,10
"Wrestling Men's Middleweight, Greco-Roman",Sweden,9
"Wrestling Men's Welterweight, Greco-Roman",Sweden,9
"Tennis Mixed Doubles",UK,9
"Tennis Men's Singles",USA,9
"Table Tennis Women's Team",China,9
"Table Tennis Men's Team",Germany,9
"Table Tennis Men's Team",China,9
"Sailing Mixed Three Person Keelboat",Norway,9
"Swimming Women's 4 x 100 metres Medley Relay",China,9
"Judo Men's Middleweight",Japan,9
"Swimming Women's 4 x 100 metres Freestyle Relay",China,9
"Speed Skating Men's 10,000 metres",Sweden,9
"Swimming Women's 100 metres Breaststroke",USA,9
"Short Track Speed Skating Men's 5,000 metres Relay",Italy,9
"Short Track Speed Skating Women's 1,000 metres","South Korea",9
"Shooting Men's Free Pistol, 50 metres, Team",Sweden,9
"Shooting Men's Free Pistol, 50 metres, Team",USA,9
"Modern Pentathlon Men's Individual","Soviet Union",9
"Modern Pentathlon Men's Team",Finland,9
"Modern Pentathlon Men's Team",Italy,9
"Ski Jumping Men's Large Hill, Individual",Austria,9
"Ski Jumping Men's Normal Hill, Individual",Austria,9
"Polo Men's Polo",Argentina,9
"Speed Skating Women's Team Pursuit (6 laps)",Russia,9
"Rowing Men's Coxed Eights",Croatia,9
"Rowing Men's Coxed Eights",Romania,9
"Speed Skating Women's Team Pursuit (6 laps)",Germany,9
"Rowing Men's Coxed Pairs",Denmark,9
"Rowing Men's Coxed Pairs",Netherlands,9
"Rowing Men's Coxed Pairs",Romania,9
"Rowing Men's Coxless Fours",Germany,9
"Rowing Men's Coxless Pairs",Germany,9
"Speed Skating Women's 3,000 metres",Netherlands,9
"Wrestling Men's Light-Heavyweight, Greco-Roman",Finland,9
"Wrestling Men's Heavyweight, Freestyle","Soviet Union",9
"Shooting Men's Running Target, Double Shot, Team",Norway,9
"Shooting Men's Running Target, Double Shot, Team",Sweden,9
"Speed Skating Women's 3,000 metres","East Germany",9
"Wrestling Men's Featherweight, Greco-Roman",Hungary,9
"Wrestling Men's Featherweight, Greco-Roman",Finland,9
"Wrestling Men's Featherweight, Freestyle",Japan,9
"Shooting Men's Running Target, Single Shot, Team",Finland,9
"Shooting Men's Running Target, Single Shot, Team",Norway,9
"Weightlifting Men's Middle-Heavyweight","Soviet Union",9
"Rowing Women's Coxed Eights",Belarus,9
"Rowing Women's Coxed Eights",China,9
"Rowing Women's Coxed Eights",UK,9
"Weightlifting Men's Lightweight","Soviet Union",9
"Weightlifting Men's Light-Heavyweight","Soviet Union",9
"Rowing Women's Double Sculls",Germany,9
"Rowing Women's Double Sculls",Romania,9
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",USA,9
"Rowing Women's Quadruple Sculls",Romania,9
"Shooting Men's Trap",Italy,9
"Speed Skating Men's 500 metres",Japan,9
"Tug-Of-War Men's Tug-Of-War",Germany,9
"Tennis Women's Singles",USA,9
"Fencing Women's Foil, Individual",Hungary,9
"Gymnastics Men's Team All-Around, Swedish System",Belgium,9
"Gymnastics Men's Rings",Japan,9
"Athletics Men's 4 mile, Team",USA,9
"Boxing Men's Heavyweight",Cuba,9
"Gymnastics Men's Parallel Bars, Teams",Germany,9
"Figure Skating Men's Singles",Canada,9
"Gymnastics Men's Parallel Bars",Switzerland,9
"Boxing Men's Middleweight",UK,9
"Athletics Men's 4 x 100 metres Relay",Nigeria,9
"Athletics Women's Javelin Throw",Germany,9
"Cycling Men's 100 kilometres Team Time Trial","East Germany",9
"Athletics Men's 4 x 100 metres Relay","Trinidad and Tobago",9
"Gymnastics Men's Individual All-Around",France,9
"Athletics Men's 4 x 400 metres Relay",Australia,9
"Cycling Men's 100 kilometres Team Time Trial",Germany,9
"Boxing Men's Bantamweight",Cuba,9
"Cross Country Skiing Men's 15 kilometres",Sweden,9
"Gymnastics Men's Horizontal Bar, Teams",Germany,9
"Gymnastics Men's Horizontal Bar","Soviet Union",9
"Fencing Women's Foil, Individual",Germany,9
"Cross Country Skiing Women's 10 kilometres",Finland,9
"Alpine Skiing Women's Giant Slalom",Austria,9
"Biathlon Men's 20 kilometres","Soviet Union",9
"Alpine Skiing Women's Slalom",Austria,9
"Equestrianism Mixed Three-Day Event, Team",France,9
"Cycling Men's Road Race, Individual",Italy,9
"Equestrianism Men's Dressage, Team",Sweden,9
"Athletics Women's 4 x 100 metres Relay","West Germany",9
"Equestrianism Mixed Three-Day Event, Individual",USA,9
"Boxing Men's Bantamweight",USA,9
"Cycling Men's Road Race, Team",USA,9
"Equestrianism Men's Dressage, Team",France,9
"Athletics Men's 5,000 metres",Kenya,9
"Basketball Men's Basketball",Canada,9
"Cycling Men's Team Pursuit, 4,000 metres",Netherlands,9
"Boxing Men's Welterweight",USA,9
"Fencing Men's Sabre, Individual",France,9
"Canoeing Men's Canadian Singles, 1,000 metres","Soviet Union",9
"Athletics Women's 4 x 100 metres Relay",Nigeria,9
"Athletics Women's Long Jump",USA,9
"Curling Women's Curling",Switzerland,9
"Athletics Men's 20 kilometres Walk","Soviet Union",9
"Boxing Men's Light-Welterweight",Cuba,9
"Curling Women's Curling",UK,9
"Cycling Men's Team Sprint",Germany,9
"Athletics Men's Hammer Throw",Hungary,9
"Boxing Men's Middleweight",USA,9
"Fencing Men's epee, Team","Unified Team",9
"Athletics Men's 3,000 metres Steeplechase",Finland,9
"Figure Skating Mixed Team",Canada,9
"Gymnastics Women's Floor Exercise",USA,9
"Canoeing Men's Kayak Doubles, 1,000 metres",Italy,8
"Figure Skating Men's Singles",Austria,8
"Bobsleigh Men's Four",Canada,8
"Fencing Women's Sabre, Team",Ukraine,8
"Athletics Women's Shot Put","East Germany",8
"Bobsleigh Men's Four",Russia,8
